Catalog Number,Calendar Year,Calendar Month,Calendar Day,TD of Greatest Eclipse,ΔT s,Luna Num,Saros Num,Ecl. Type,QLE,Gamma,Ecl. Mag.,Lat °,Long °,Sun Alt °,Path Width km,Central Dur.
9283,1901,May,18,05:33:48,,-1,-1220,136,T,n-,-0.3626,1.068,2S,98E,69,238
9284,1901,Nov,11,07:28:21,,0,-1214,141,A,p-,0.4758,0.9216,11N,69E,62,336
9285,1902,Apr,8,14:05:06,,0,-1209,108,Pe,#NAME?,1.5024,0.0643,72N,142W,0,
9286,1902,May,7,22:34:16,,0,-1208,146,P,t-,-1.0831,0.8593,70S,125W,0,
9287,1902,Oct,31,08:00:18,,1,-1202,151,P,t-,1.1556,0.696,71N,101E,0,
9288,1903,Mar,29,01:35:23,,2,-1197,118,A,#NAME?,0.8413,0.9767,56N,130E,32,153
9289,1903,Sep,21,04:39:52,,2,-1191,123,T,#NAME?,-0.8967,1.0316,58S,77E,26,241
9290,1904,Mar,17,05:40:44,,3,-1185,128,A,nn,0.1299,0.9367,6N,95E,82,237
9291,1904,Sep,9,20:44:21,,3,-1179,133,T,#NAME?,-0.1625,1.0709,4S,135W,81,234
9292,1905,Mar,6,05:12:26,,4,-1173,138,A,p-,-0.5768,0.9269,40S,117E,55,334
9293,1905,Aug,30,13:07:26,,5,-1167,143,T,p-,0.5708,1.0477,42N,4W,55,192
9294,1906,Feb,23,07:43:20,,5,-1161,148,P,t-,-1.2479,0.5386,71S,170W,0,
9295,1906,Jul,21,13:14:19,,6,-1156,115,P,#NAME?,-1.3637,0.3355,69S,33W,0,
9296,1906,Aug,20,01:12:50,,6,-1155,153,P,t-,1.3731,0.3147,71N,66W,0,
9297,1907,Jan,14,06:05:43,,6,-1150,120,T,#NAME?,0.8628,1.0281,38N,86E,30,189
9298,1907,Jul,10,15:24:32,,7,-1144,125,A,#NAME?,-0.6313,0.9456,17S,51W,51,258
9299,1908,Jan,3,21:45:22,,8,-1138,130,T,#NAME?,0.1934,1.0437,12S,145W,79,149
9300,1908,Jun,28,16:29:51,,8,-1132,135,A,nn,0.1389,0.9655,31N,67W,82,126
9301,1908,Dec,23,11:44:28,,9,-1126,140,H,n-,-0.4985,1.0024,53S,1W,60,10
9302,1909,Jun,17,23:18:38,,10,-1120,145,H,t-,0.8957,1.0065,83N,124E,26,51
9303,1909,Dec,12,19:44:48,,10,-1114,150,P,t-,-1.2456,0.5424,65S,86E,0,
9304,1910,May,9,05:42:13,,11,-1109,117,T,#NAME?,-0.9437,1.06,48S,125E,19,594
